epoch,lr,train_loss,val_loss,dice_0,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
78,0.00714,0.1659,0.1584,0.8413,0.5784,0.7505,28.93,,
79,0.0071,0.1272,0.2185,0.8479,0.5392,0.7197,28.71,,
80,0.00707,0.1705,0.2499,0.8372,0.549,0.7391,29.26,,
81,0.00703,0.1319,0.0807,0.8486,0.7255,0.7547,29.32,,
82,0.00699,0.1617,0.1758,0.8345,0.5588,0.7104,28.85,,
83,0.00696,0.1533,0.0554,0.8087,0.7059,0.7901,29.26,,
84,0.00692,0.1223,0.1565,0.833,0.6569,0.708,29.02,,
85,0.00688,0.1314,0.1894,0.8356,0.6667,0.6864,29.22,,
86,0.00684,0.132,0.0962,0.8567,0.6667,0.737,28.63,,
87,0.0068,0.1423,0.1122,0.8861,0.7157,0.7874,29.43,,
88,0.00677,0.0957,0.0422,0.8678,0.6863,0.8008,29.54,,
89,0.00673,0.1482,0.2308,0.8634,0.6078,0.684,29.27,,
90,0.00669,0.1383,0.2931,0.8492,0.5588,0.7303,29.06,,
91,0.00665,0.1375,0.1196,0.861,0.6275,0.7428,29.39,,
92,0.00662,0.1359,0.2124,0.8812,0.598,0.7008,29.48,,
93,0.00658,0.1335,0.1897,0.8642,0.6667,0.7676,29.43,,
94,0.00654,0.1386,0.3096,0.8361,0.4608,0.6532,28.9,,
95,0.0065,0.1198,0.2336,0.8626,0.6765,0.7286,29.4,,
96,0.00647,0.1107,0.0041,0.8764,0.7451,0.7862,29.69,,
97,0.00643,0.1308,0.2669,0.8751,0.6275,0.7036,32.44,,
98,0.00639,0.124,0.1652,0.8046,0.6078,0.702,30.51,,
99,0.00635,0.1601,0.231,0.857,0.5098,0.6897,29.52,,
100,0.00631,0.1222,0.2219,0.8659,0.6275,0.7134,29.3,,
101,0.00628,0.1223,0.0312,0.8428,0.7745,0.7848,30.12,,
102,0.00624,0.0824,0.0968,0.867,0.6569,0.7696,29.54,,
103,0.0062,0.1194,0.1182,0.8894,0.549,0.7481,30.34,,
104,0.00616,0.0614,0.2974,0.8817,0.549,0.7033,30.3,,
105,0.00612,0.1075,0.2834,0.8879,0.549,0.7021,29.86,,
106,0.00609,0.0756,0.1354,0.8616,0.6275,0.6557,29.38,,
107,0.00605,0.0936,0.1399,0.9038,0.6078,0.7746,28.95,,
