epoch,lr,train_loss,val_loss,dice_0,dice_1,dice_2,dice_3,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
55,0.008,-0.3412,-0.2602,0.9502,0.862,0.9061,0.8857,0.5,0.8633,75.97,,
56,0.00796,-0.3474,-0.2555,0.9565,0.853,0.9182,0.8498,0.5,0.6934,78.44,,
57,0.00792,-0.3431,-0.1836,0.9235,0.8685,0.9176,0.8624,0.5625,0.6074,77.22,,
58,0.00789,-0.3528,-0.2913,0.953,0.8357,0.9219,0.8522,0.7188,0.8164,76.33,,
59,0.00785,-0.349,-0.3187,0.9388,0.7944,0.9078,0.8805,0.9375,0.9844,76.85,yes,1.868499994277954
60,0.00781,-0.3615,-0.3391,0.9683,0.8307,0.9332,0.8736,0.8438,0.9375,73.0,,
61,0.00777,-0.3607,-0.3314,0.9647,0.7589,0.9248,0.8512,0.75,1.0,75.39,yes,1.8846999406814575
62,0.00774,-0.355,-0.2415,0.9611,0.8036,0.9192,0.8779,0.5,0.7266,77.49,,
63,0.0077,-0.3669,-0.3225,0.9562,0.8538,0.9211,0.8808,0.5938,0.8203,75.76,,
64,0.00766,-0.3681,-0.3195,0.9676,0.8556,0.928,0.8779,0.7188,0.8984,75.82,,
65,0.00763,-0.3627,-0.2142,0.9476,0.8297,0.9218,0.8749,0.6562,0.7188,77.03,,
66,0.00759,-0.3579,-0.2916,0.9607,0.8508,0.9292,0.8824,0.625,0.9336,79.01,,
67,0.00755,-0.3594,-0.3029,0.9524,0.7791,0.9189,0.8592,0.8438,0.9531,75.82,,
68,0.00751,-0.364,-0.1787,0.954,0.8247,0.9122,0.8947,0.7812,0.8086,77.79,,
69,0.00748,-0.355,-0.2756,0.9584,0.8079,0.9234,0.8794,0.5625,0.8047,73.97,,
70,0.00744,-0.3595,-0.2841,0.9657,0.7901,0.9122,0.8563,0.5,0.8789,75.77,,
71,0.0074,-0.354,-0.2782,0.9611,0.8665,0.943,0.8571,0.5,0.7695,76.56,,
72,0.00737,-0.3505,-0.2694,0.9564,0.8468,0.9232,0.8336,0.5938,0.6992,79.03,,
73,0.00733,-0.352,-0.2954,0.9535,0.8455,0.9323,0.8702,0.625,0.918,76.6,,
74,0.00729,-0.366,-0.2807,0.9596,0.8542,0.9286,0.871,0.625,0.8516,76.79,,
75,0.00725,-0.3652,-0.2497,0.9493,0.8762,0.9266,0.9013,0.6875,0.8945,75.72,,
76,0.00722,-0.3677,-0.2871,0.9496,0.8481,0.9393,0.8587,0.7188,0.8984,75.35,,
77,0.00718,-0.3736,-0.2457,0.9588,0.7926,0.9274,0.8823,0.5938,0.959,75.51,,
78,0.00714,-0.3358,-0.2992,0.9451,0.7964,0.9265,0.8793,0.625,0.832,75.49,,
79,0.0071,-0.3533,-0.3258,0.9565,0.8006,0.927,0.8603,0.7812,0.9453,75.2,,
80,0.00707,-0.365,-0.2574,0.9667,0.8729,0.9225,0.855,0.5625,0.8125,75.49,,
81,0.00703,-0.3667,-0.286,0.9506,0.8236,0.9217,0.8852,0.7188,0.9492,73.75,,
82,0.00699,-0.3663,-0.3017,0.9392,0.8573,0.9238,0.8604,0.75,0.918,76.26,,
83,0.00696,-0.376,-0.3056,0.9589,0.8151,0.9352,0.8729,0.6562,0.8125,76.15,,
84,0.00692,-0.3707,-0.2873,0.9637,0.8171,0.9312,0.8717,0.6562,0.8633,76.32,,
85,0.00688,-0.373,-0.2777,0.9622,0.7751,0.9344,0.872,0.7188,0.9375,74.91,,
86,0.00684,-0.3736,-0.2552,0.9608,0.8291,0.9297,0.8758,0.5312,0.9336,75.32,,
87,0.0068,-0.3746,-0.0567,0.9518,0.8631,0.9048,0.8666,0.5,0.5195,72.73,,
88,0.00677,-0.3693,-0.2297,0.9456,0.8606,0.9298,0.8824,0.5,0.8555,75.06,,
89,0.00673,-0.3756,-0.2954,0.9542,0.8182,0.9379,0.8755,0.625,0.8438,75.34,,
90,0.00669,-0.368,-0.2453,0.9642,0.814,0.9309,0.8599,0.625,0.7266,76.24,,
91,0.00665,-0.3795,-0.3101,0.9642,0.8547,0.932,0.8947,0.6562,0.8672,75.61,,
92,0.00662,-0.3723,-0.3164,0.9548,0.8806,0.9246,0.8225,0.6562,0.8164,77.37,,
93,0.00658,-0.3742,-0.291,0.9693,0.773,0.9359,0.8613,0.6562,0.9102,74.54,,
94,0.00654,-0.3762,-0.2786,0.9569,0.8368,0.9303,0.8691,0.6562,0.7539,75.33,,
95,0.0065,-0.3817,-0.2499,0.9517,0.8676,0.9301,0.8806,0.7188,0.9219,76.04,,
96,0.00647,-0.3546,-0.2745,0.9499,0.8505,0.9308,0.8343,0.5,0.8047,74.6,,
97,0.00643,-0.362,-0.2395,0.9651,0.7842,0.9267,0.8598,0.5625,0.6367,72.91,,
98,0.00639,-0.37,-0.2973,0.9609,0.9007,0.9329,0.8891,0.6562,0.8281,75.94,,
99,0.00635,-0.3748,-0.2318,0.9324,0.8633,0.9294,0.8344,0.5312,0.8711,75.88,,
100,0.00631,-0.3669,-0.2432,0.9558,0.8763,0.9445,0.8954,0.625,0.7539,75.29,,
101,0.00628,-0.3701,-0.2481,0.9552,0.8671,0.9369,0.8781,0.5312,0.8242,74.69,,
102,0.00624,-0.3723,-0.1152,0.9542,0.8904,0.9008,0.842,0.5312,0.7852,75.76,,
103,0.0062,-0.3529,-0.315,0.9407,0.8223,0.93,0.8879,0.7188,0.9609,76.09,,
104,0.00616,-0.3698,-0.322,0.965,0.8777,0.9222,0.8664,0.8125,0.9531,75.05,,
